"Folder","Pose","Files","MaxW","MaxH","Scale"
"holding_zweihander\animations_zweihander\idle_running_zweihander\grip2_idlewalk\south_west_grip2","stand","9","104","124","0,952"
"holding_zweihander\animations_zweihander\idle_running_zweihander\oneohanded_sword_idlewalk\north-east_oneh","stand","9","76","80","1,475"
"holding_zweihander\animations_zweihander\idle_running_zweihander\oneohanded_sword_idlewalk\south-east_oneh","stand","9","93","123","0,959"
"holding_zweihander\animations_zweihander\idle_running_zweihander\oneohanded_sword_idlewalk\south_west_oneh","stand","9","110","124","0,952"
"holding_zweihander\animations_zweihander\idle_running_zweihander\oneohanded_sword_idlewalk\west_oneh","stand","9","108","123","0,959"
"holding_zweihander\animations_zweihander\idle_running_zweihander\zweihander_idlewalk\south_east_twoh","stand","9","103","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill10_buff","stand","9","124","116","0,968"
"holding_zweihander\animations_zweihander\swordattacks\swordskill11_southeast_flurryofblows","stand","9","118","105","1,017"
"holding_zweihander\animations_zweihander\swordattacks\swordskill12_southE_focused_hit","stand","9","123","110","0,976"
"holding_zweihander\animations_zweihander\swordattacks\swordskill13_NtoS_counter","stand","9","124","108","0,968"
"holding_zweihander\animations_zweihander\swordattacks\swordskill14_southE_reverse_flow","stand","9","124","115","0,968"
"holding_zweihander\animations_zweihander\swordattacks\swordskill1_swordwhirl","stand","16","119","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill3_electricslash","stand","9","124","91","0,968"
"holding_zweihander\animations_zweihander\swordattacks\swordskill4_southE_zweiteiler","stand","9","124","110","0,968"
"holding_zweihander\animations_zweihander\swordattacks\swordskill5_Buff","stand","9","112","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill8_Buff","stand","9","113","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill9_bash","stand","9","100","123","0,959"
"holding_zweihander\animations_zweihander\swordattacks\Swordskills6_Buff","stand","9","109","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill_northE_flurry","stand","9","122","123","0,959"
"holding_zweihander\animations_zweihander\swordattacks\swordskill_northE_stab","stand","9","104","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\autoattack_sword1\north-east","stand","9","109","123","0,959"
"holding_zweihander\animations_zweihander\swordattacks\autoattack_sword1\south-east","stand","9","101","123","0,959"
"holding_zweihander\animations_zweihander\swordattacks\swordskill1_swordwhirl\north-west","stand","9","119","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskill1_swordwhirl\west","stand","9","109","124","0,952"
"holding_zweihander\animations_zweihander\swordattacks\swordskills2_slasher\south-west","stand","9","111","124","0,952"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword","stand","9","107","124","0,952"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword_cheering","stand","9","116","124","0,952"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword_heavy_zweihander","stand","9","108","123","0,959"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword_pose","stand","9","101","123","0,959"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword_threaten","stand","9","97","123","0,959"
"holding_zweihander\animations_zweihander\sword_emotion\emo_sword_victory","stand","9","106","124","0,952"
"idle_dmg_frame\north","stand","9","68","124","0,952"
"idle_dmg_frame\south","stand","9","56","124","0,952"
"idle_pickup\north","stand","9","99","124","0,952"
"idle_pickup\south","stand","9","69","123","0,959"
"idle_rotation_breathing\east","stand","4","38","124","0,952"
"idle_rotation_breathing\north","stand","4","31","124","0,952"
"idle_rotation_breathing\north_east","stand","4","37","124","0,952"
"idle_rotation_breathing\north_west","stand","4","41","124","0,952"
"idle_rotation_breathing\south","stand","4","30","124","0,952"
"idle_rotation_breathing\south_east","stand","4","37","124","0,952"
"idle_rotation_breathing\south_west","stand","4","35","124","0,952"
"idle_rotation_breathing\west","stand","4","40","124","0,952"
"idle_running\east","stand","17","101","124","0,952"
"idle_running\east2","stand","17","103","124","0,952"
"idle_running\north","stand","17","66","124","0,952"
"idle_running\north_east","stand","17","67","123","0,959"
"idle_running\north_west","stand","17","84","124","0,952"
"idle_running\south","stand","17","57","124","0,952"
"idle_running\south_west","stand","17","87","124","0,952"
"idle_running\west","stand","17","95","124","0,952"
"idle_sitting\east","sit","9","80","123","0,683"
"idle_sitting\north","sit","9","85","124","0,677"
"idle_sitting\south","sit","9","75","124","0,677"
"idle_sitting\west","sit","9","66","123","0,683"
